kind,series_name,series_imdb_id,season,episode,original_air_date,original_air_year,rating,votes,runtime,is_comedy,is_drama
tv series,The Queen and the Conqueror,10348700,1,18,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,19,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,20,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,21,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,22,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,23,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,24,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,25,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,26,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,27,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,28,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,29,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,30,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,31,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,32,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,33,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,34,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,35,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,36,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,37,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,38,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,39,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,40,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,41,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,42,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,43,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,44,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,45,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,46,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,47,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,48,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,49,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,50,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,51,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,52,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,53,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,54,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,55,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,56,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,57,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,58,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,59,16-May-20,2020,,,,0,1
tv series,The Queen and the Conqueror,10348700,1,60,16-May-20,2020,,,,0,1
tv series,The Letter for the King,8741648,1,1,20 Mar. 2020,2020,6.8,241,,0,0
tv series,The Letter for the King,8741648,1,2,20 Mar. 2020,2020,7,200,,0,0
tv series,The Letter for the King,8741648,1,3,20 Mar. 2020,2020,7,194,,0,0
tv series,The Letter for the King,8741648,1,4,20 Mar. 2020,2020,6.9,172,,0,0
tv series,The Letter for the King,8741648,1,5,20 Mar. 2020,2020,7.1,181,,0,0
tv series,The Letter for the King,8741648,1,6,20 Mar. 2020,2020,5.7,217,,0,0
tv series,Sex Education,7767422,1,1,11 Jan. 2019,2019,8,3687,52,1,1
tv series,Sex Education,7767422,1,2,11 Jan. 2019,2019,8,3227,49,1,1
tv series,Sex Education,7767422,1,3,11 Jan. 2019,2019,8.4,3217,50,1,1
tv series,Sex Education,7767422,1,4,11 Jan. 2019,2019,8.1,2935,47,1,1
tv series,Sex Education,7767422,1,5,11 Jan. 2019,2019,8.7,3320,46,1,1
tv series,Sex Education,7767422,1,6,11 Jan. 2019,2019,8.1,2759,49,1,1
tv series,Sex Education,7767422,1,7,11 Jan. 2019,2019,8.7,3085,51,1,1
tv series,Sex Education,7767422,1,8,11 Jan. 2019,2019,8.4,2963,52,1,1
tv series,Sex Education,7767422,2,1,17 Jan. 2020,2020,8.2,2794,51,1,1
tv series,Sex Education,7767422,2,2,17 Jan. 2020,2020,8,2509,50,1,1
tv series,Sex Education,7767422,2,3,17 Jan. 2020,2020,8.3,2496,48,1,1
tv series,Sex Education,7767422,2,4,17 Jan. 2020,2020,8.2,2393,51,1,1
tv series,Sex Education,7767422,2,5,17 Jan. 2020,2020,7.8,2387,53,1,1
tv series,Sex Education,7767422,2,6,17 Jan. 2020,2020,8.5,2598,54,1,1
tv series,Sex Education,7767422,2,7,17 Jan. 2020,2020,9,3445,49,1,1
tv series,Sex Education,7767422,2,8,17 Jan. 2020,2020,7.7,3798,59,1,1
tv series,Sex Education,7767422,3,1,2021,,,,,1,1
tv series,I Am a Killer,8300324,1,1,3 Aug. 2018,2018,7.3,266,,0,0
tv series,I Am a Killer,8300324,1,2,3 Aug. 2018,2018,7.5,194,,0,0
tv series,I Am a Killer,8300324,1,3,3 Aug. 2018,2018,7.1,53,,0,0
tv series,I Am a Killer,8300324,1,4,3 Aug. 2018,2018,7.6,173,59,0,0
tv series,I Am a Killer,8300324,1,5,3 Aug. 2018,2018,7,137,,0,0
tv series,I Am a Killer,8300324,1,6,3 Aug. 2018,2018,7.1,125,52,0,0
tv series,I Am a Killer,8300324,1,7,3 Aug. 2018,2018,7.2,134,,0,0
tv series,I Am a Killer,8300324,1,8,3 Aug. 2018,2018,7.1,125,,0,0
tv series,I Am a Killer,8300324,1,9,3 Aug. 2018,2018,7.6,125,,0,0
tv series,I Am a Killer,8300324,1,10,3 Aug. 2018,2018,6.9,103,,0,0
tv series,I Am a Killer,8300324,2,1,31 Jan. 2020,2020,6.5,108,,0,0
tv series,I Am a Killer,8300324,2,2,31 Jan. 2020,2020,7.8,102,,0,0
tv series,I Am a Killer,8300324,2,3,31 Jan. 2020,2020,6.7,72,,0,0
tv series,I Am a Killer,8300324,2,4,31 Jan. 2020,2020,7.4,69,,0,0
tv series,I Am a Killer,8300324,2,5,31 Jan. 2020,2020,7.1,54,,0,0
tv series,I Am a Killer,8300324,2,6,31 Jan. 2020,2020,8.5,100,,0,0
tv series,I Am a Killer,8300324,2,7,31 Jan. 2020,2020,7.9,54,,0,0
tv series,I Am a Killer,8300324,2,8,31 Jan. 2020,2020,6.8,47,,0,0
tv series,I Am a Killer,8300324,2,9,31 Jan. 2020,2020,7.6,50,,0,0
tv series,I Am a Killer,8300324,2,10,31 Jan. 2020,2020,6.6,48,,0,0
tv series,It's Okay to Not Be Okay,12451520,1,1,20 Jun. 2020,2020,9,317,75,1,1
tv series,It's Okay to Not Be Okay,12451520,1,2,21 Jun. 2020,2020,8.9,295,73,1,1
tv series,It's Okay to Not Be Okay,12451520,1,3,27 Jun. 2020,2020,8.9,284,76,1,1
tv series,It's Okay to Not Be Okay,12451520,1,4,28 Jun. 2020,2020,9.1,281,70,1,1
tv series,It's Okay to Not Be Okay,12451520,1,5,4 Jul. 2020,2020,9,262,73,1,1
tv series,It's Okay to Not Be Okay,12451520,1,6,5 Jul. 2020,2020,9.1,260,71,1,1
tv series,It's Okay to Not Be Okay,12451520,1,7,11 Jul. 2020,2020,9.1,252,72,1,1
tv series,It's Okay to Not Be Okay,12451520,1,8,12 Jul. 2020,2020,9,253,77,1,1
tv series,It's Okay to Not Be Okay,12451520,1,9,18 Jul. 2020,2020,9.2,245,74,1,1
tv series,It's Okay to Not Be Okay,12451520,1,10,19 Jul. 2020,2020,9.2,240,82,1,1
tv series,It's Okay to Not Be Okay,12451520,1,11,25 Jul. 2020,2020,9.5,229,85,1,1
tv series,It's Okay to Not Be Okay,12451520,1,12,26 Jul. 2020,2020,9.3,212,74,1,1
tv series,It's Okay to Not Be Okay,12451520,1,13,1 Aug. 2020,2020,9,174,82,1,1
tv series,It's Okay to Not Be Okay,12451520,1,14,2 Aug. 2020,2020,9.2,169,78,1,1
tv series,It's Okay to Not Be Okay,12451520,1,15,8 Aug. 2020,2020,9.2,116,78,1,1
tv series,It's Okay to Not Be Okay,12451520,1,16,9 Aug. 2020,2020,9.6,117,81,1,1
tv series,Terrace House: Tokyo 2019-2020,10686814,1,1,14-May-19,2019,6.7,22,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,2,21-May-19,2019,6.6,16,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,3,28-May-19,2019,6.5,16,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,4,4 Jun. 2019,2019,6.6,15,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,5,18 Jun. 2019,2019,6.3,14,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,6,25 Jun. 2019,2019,6.5,15,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,7,2 Jul. 2019,2019,6,14,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,8,9 Jul. 2019,2019,6.5,14,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,9,23 Jul. 2019,2019,7.2,17,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,10,30 Jul. 2019,2019,6,14,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,11,6 Aug. 2019,2019,6,15,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,12,13 Aug. 2019,2019,5.8,15,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,13,27 Aug. 2019,2019,6,14,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,14,3 Sep. 2019,2019,6.1,15,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,15,10 Sep. 2019,2019,6.2,13,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,16,17 Sep. 2019,2019,6,13,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,17,1 Oct. 2019,2019,5.4,10,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,18,8 Oct. 2019,2019,6,10,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,19,15 Oct. 2019,2019,5.6,10,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,20,22 Oct. 2019,2019,6.1,11,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,21,5 Nov. 2019,2019,5.8,11,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,22,12 Nov. 2019,2019,5.7,10,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,23,19 Nov. 2019,2019,5.8,11,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,24,26 Nov. 2019,2019,6.4,12,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,25,9 Dec. 2019,2019,7.3,15,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,26,16 Dec. 2019,2019,5.3,9,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,27,24 Dec. 2019,2019,5.4,8,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,28,31 Dec. 2019,2019,5.3,10,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,29,14 Jan. 2020,2020,5.5,11,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,30,21 Jan. 2020,2020,5.5,10,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,31,28 Jan. 2020,2020,5.1,8,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,32,4 Feb. 2020,2020,5.6,11,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,33,18 Feb. 2020,2020,5.4,10,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,34,25 Feb. 2020,2020,4.6,10,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,35,3 Mar. 2020,2020,4.7,9,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,36,10 Mar. 2020,2020,5.4,9,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,37,24 Mar. 2020,2020,6.4,,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,38,31 Mar. 2020,2020,6.2,,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,39,7 Apr. 2020,2020,,,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,40,14 Apr. 2020,2020,,,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,41,12-May-20,2020,,,,0,0
tv series,Terrace House: Tokyo 2019-2020,10686814,1,42,19-May-20,2020,,,,0,0
tv series,Sugar Rush Christmas,11168116,1,1,29 Nov. 2019,2019,6.4,18,,0,0
tv series,Sugar Rush Christmas,11168116,1,2,29 Nov. 2019,2019,7.1,14,,0,0
tv series,Sugar Rush Christmas,11168116,1,3,29 Nov. 2019,2019,6.7,12,,0,0
tv series,Sugar Rush Christmas,11168116,1,4,29 Nov. 2019,2019,7.1,12,,0,0
tv series,Sugar Rush Christmas,11168116,1,5,29 Nov. 2019,2019,6.6,11,,0,0
tv series,Sugar Rush Christmas,11168116,1,6,29 Nov. 2019,2019,6.9,9,,0,0
tv series,The Final Table,7619858,1,1,20 Nov. 2018,2018,7.3,132,,0,0
tv series,The Final Table,7619858,1,2,20 Nov. 2018,2018,7.2,112,,0,0
tv series,The Final Table,7619858,1,3,20 Nov. 2018,2018,7.1,115,,0,0
tv series,The Final Table,7619858,1,4,20 Nov. 2018,2018,7.4,101,,0,0
tv series,The Final Table,7619858,1,5,20 Nov. 2018,2018,7.5,103,,0,0
tv series,The Final Table,7619858,1,6,20 Nov. 2018,2018,6.6,97,,0,0
tv series,The Final Table,7619858,1,7,20 Nov. 2018,2018,7.5,84,,0,0
tv series,The Final Table,7619858,1,8,20 Nov. 2018,2018,7.9,93,,0,0
tv series,The Final Table,7619858,1,9,20 Nov. 2018,2018,7.3,80,,0,0
tv series,The Final Table,7619858,1,10,20 Nov. 2018,2018,4.7,165,,0,0
tv series,The Big Show Show,10726356,1,1,6 Apr. 2020,2020,6.6,119,27,1,0
tv series,The Big Show Show,10726356,1,2,6 Apr. 2020,2020,7.6,87,25,1,0
tv series,The Big Show Show,10726356,1,3,6 Apr. 2020,2020,7.5,81,27,1,0
tv series,The Big Show Show,10726356,1,4,6 Apr. 2020,2020,7.4,74,26,1,0
tv series,The Big Show Show,10726356,1,5,6 Apr. 2020,2020,7.7,74,26,1,0
tv series,The Big Show Show,10726356,1,6,6 Apr. 2020,2020,7.8,75,25,1,0
tv series,The Big Show Show,10726356,1,7,6 Apr. 2020,2020,7.7,65,26,1,0
tv series,The Big Show Show,10726356,1,8,6 Apr. 2020,2020,8.1,71,28,1,0
tv series,The Big Show Show,10726356,1,9,10 Aug. 2020,2020,,,,1,0
tv series,Babylon Berlin,4378376,1,1,30 Jan. 2018,2018,7.6,850,47,0,1
tv series,Babylon Berlin,4378376,1,2,30 Sep. 2018,2018,8.1,799,47,0,1
tv series,Babylon Berlin,4378376,1,3,30 Sep. 2018,2018,7.6,641,46,0,1
tv series,Babylon Berlin,4378376,1,4,4 Oct. 2018,2018,7.8,611,45,0,1
tv series,Babylon Berlin,4378376,1,5,4 Oct. 2018,2018,7.8,587,47,0,1
tv series,Babylon Berlin,4378376,1,6,4 Oct. 2018,2018,7.7,559,47,0,1
tv series,Babylon Berlin,4378376,1,7,11 Oct. 2018,2018,8,559,46,0,1
tv series,Babylon Berlin,4378376,1,8,11 Oct. 2018,2018,8.2,573,47,0,1
tv series,Babylon Berlin,4378376,2,1,18 Oct. 2018,2018,8,500,46,0,1
tv series,Babylon Berlin,4378376,2,2,18 Oct. 2018,2018,8.2,485,47,0,1
tv series,Babylon Berlin,4378376,2,3,25 Oct. 2018,2018,8,465,44,0,1
tv series,Babylon Berlin,4378376,2,4,25 Oct. 2018,2018,8.2,456,44,0,1
tv series,Babylon Berlin,4378376,2,5,1 Nov. 2018,2018,8.1,451,45,0,1
tv series,Babylon Berlin,4378376,2,6,24 Nov. 2017,2017,8.3,463,44,0,1
tv series,Babylon Berlin,4378376,2,7,8 Nov. 2018,2018,8.7,558,,0,1
tv series,Babylon Berlin,4378376,2,8,8 Nov. 2018,2018,8.4,568,,0,1
tv series,Babylon Berlin,4378376,3,1,1 Mar. 2020,2020,7.9,301,50,0,1
tv series,Babylon Berlin,4378376,3,2,24 Jan. 2020,2020,7.9,262,,0,1
tv series,Babylon Berlin,4378376,3,3,24 Jan. 2020,2020,7.9,256,,0,1
tv series,Babylon Berlin,4378376,3,4,24 Jan. 2020,2020,7.8,248,48,0,1
tv series,Babylon Berlin,4378376,3,5,7 Feb. 2020,2020,7.8,228,45,0,1
tv series,Babylon Berlin,4378376,3,6,7 Feb. 2020,2020,7.9,230,45,0,1
tv series,Babylon Berlin,4378376,3,7,7 Feb. 2020,2020,8.2,242,,0,1
tv series,Babylon Berlin,4378376,3,8,7 Feb. 2020,2020,7.9,226,50,0,1
tv series,Babylon Berlin,4378376,3,9,14 Feb. 2020,2020,8.2,244,50,0,1
tv series,Babylon Berlin,4378376,3,10,14 Feb. 2020,2020,7.9,214,,0,1
tv series,Babylon Berlin,4378376,3,11,14 Feb. 2020,2020,8.4,243,,0,1
tv series,Babylon Berlin,4378376,3,12,14 Feb. 2020,2020,8.1,256,62,0,1
tv series,Babylon Berlin,4378376,4,1,15 Oct. 2020,2020,,,,0,1
tv series,Jinn,8923396,1,1,13 Jun. 2019,2019,3.9,727,46,0,1
tv series,Jinn,8923396,1,2,13 Jun. 2019,2019,3.7,642,31,0,1
tv series,Jinn,8923396,1,3,13 Jun. 2019,2019,3.6,597,28,0,1
tv series,Jinn,8923396,1,4,13 Jun. 2019,2019,3.6,600,24,0,1
tv series,Jinn,8923396,1,5,13 Jun. 2019,2019,3.4,610,30,0,1
tv series,The InBESTigators,9332962,1,1,21 Jun. 2019,2019,8.8,13,,1,0
tv series,The InBESTigators,9332962,1,2,22 Jun. 2019,2019,8.7,10,,1,0
tv series,The InBESTigators,9332962,1,3,23 Jun. 2019,2019,9,10,,1,0
tv series,The InBESTigators,9332962,1,4,24 Jun. 2019,2019,8.9,9,,1,0
tv series,The InBESTigators,9332962,1,5,25 Jun. 2019,2019,8.7,7,,1,0
tv series,The InBESTigators,9332962,1,6,26 Jun. 2019,2019,8.5,6,,1,0
tv series,The InBESTigators,9332962,1,7,27 Jun. 2019,2019,8,,,1,0
tv series,The InBESTigators,9332962,1,8,28 Jun. 2019,2019,8.2,,,1,0
tv series,The InBESTigators,9332962,1,9,29 Jun. 2019,2019,8.2,,,1,0
tv series,The InBESTigators,9332962,1,10,30 Jun. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,1,11,1 Jul. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,1,12,2 Jul. 2019,2019,8,,,1,0
tv series,The InBESTigators,9332962,1,13,3 Jul. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,1,14,4 Jul. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,1,15,5 Jul. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,1,16,6 Jul. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,1,17,7 Jul. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,1,18,8 Jul. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,1,19,9 Jul. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,1,20,10 Jul. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,1,11 Nov. 2019,2019,8.3,6,,1,0
tv series,The InBESTigators,9332962,2,2,12 Nov. 2019,2019,8.6,,,1,0
tv series,The InBESTigators,9332962,2,3,13 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,4,14 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,5,15 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,6,16 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,7,17 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,8,18 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,9,19 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,10,20 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,11,21 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,12,22 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,13,23 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,14,24 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,15,25 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,16,26 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,17,27 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,18,28 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,19,29 Nov. 2019,2019,,,,1,0
tv series,The InBESTigators,9332962,2,20,30 Nov. 2019,2019,,,,1,0
tv series,Glitch,4192782,1,1,15 Oct. 2016,2016,7.9,581,45,0,1
tv series,Glitch,4192782,1,2,15 Oct. 2016,2016,7.8,463,45,0,1
tv series,Glitch,4192782,1,3,15 Oct. 2016,2016,7.6,407,45,0,1
tv series,Glitch,4192782,1,4,15 Oct. 2016,2016,8,399,45,0,1
tv series,Glitch,4192782,1,5,15 Oct. 2016,2016,7.9,384,45,0,1
tv series,Glitch,4192782,1,6,15 Oct. 2016,2016,8.2,398,60,0,1
tv series,Glitch,4192782,2,1,14 Sep. 2017,2017,7.6,313,59,0,1
tv series,Glitch,4192782,2,2,21 Sep. 2017,2017,7.6,271,55,0,1
tv series,Glitch,4192782,2,3,28 Sep. 2017,2017,7.6,262,54,0,1
tv series,Glitch,4192782,2,4,5 Oct. 2017,2017,7.6,256,56,0,1
tv series,Glitch,4192782,2,5,12 Oct. 2017,2017,7.8,257,55,0,1
tv series,Glitch,4192782,2,6,19 Oct. 2017,2017,8,287,54,0,1
tv series,Glitch,4192782,3,1,25 Aug. 2019,2019,6.8,208,,0,1
tv series,Glitch,4192782,3,2,1 Sep. 2019,2019,7,178,,0,1
tv series,Glitch,4192782,3,3,8 Sep. 2019,2019,6.7,160,,0,1
tv series,Glitch,4192782,3,4,15 Sep. 2019,2019,6.8,151,,0,1
tv series,Glitch,4192782,3,5,22 Sep. 2019,2019,7.2,149,,0,1
tv series,Glitch,4192782,3,6,29 Sep. 2019,2019,6,189,,0,1
tv series,Dating Around,9654080,1,1,14 Feb. 2019,2019,6.3,62,,0,0
tv series,Dating Around,9654080,1,2,14 Feb. 2019,2019,6.8,56,,0,0
tv series,Dating Around,9654080,1,3,14 Feb. 2019,2019,6.2,43,,0,0
tv series,Dating Around,9654080,1,4,14 Feb. 2019,2019,8.2,57,,0,0
tv series,Dating Around,9654080,1,5,14 Feb. 2019,2019,6.5,51,,0,0
tv series,Dating Around,9654080,1,6,14 Feb. 2019,2019,7.2,48,,0,0
tv series,Dating Around,9654080,2,1,12 Jun. 2020,2020,6.6,19,,0,0
tv series,Dating Around,9654080,2,2,14 Feb. 2020,2020,6.9,28,,0,0
tv series,Dating Around,9654080,2,3,14 Feb. 2020,2020,6.8,21,,0,0
tv series,Dating Around,9654080,2,4,14 Feb. 2020,2020,7.1,16,,0,0
tv series,Dating Around,9654080,2,5,14 Feb. 2020,2020,5.6,16,,0,0
tv series,Dating Around,9654080,2,6,14 Feb. 2020,2020,6.5,13,,0,0
tv series,Paradise PD,8235236,1,1,31 Aug. 2018,2018,6.8,536,29,1,0
tv series,Paradise PD,8235236,1,2,31 Aug. 2018,2018,6.8,427,27,1,0
tv series,Paradise PD,8235236,1,3,31 Aug. 2018,2018,7.3,425,27,1,0
tv series,Paradise PD,8235236,1,4,31 Aug. 2018,2018,7.2,361,28,1,0
tv series,Paradise PD,8235236,1,5,31 Aug. 2018,2018,7.2,350,28,1,0
tv series,Paradise PD,8235236,1,6,31 Aug. 2018,2018,7,322,28,1,0
tv series,Paradise PD,8235236,1,7,31 Aug. 2018,2018,7,315,28,1,0
tv series,Paradise PD,8235236,1,8,31 Aug. 2018,2018,7.1,299,27,1,0
tv series,Paradise PD,8235236,1,9,31 Aug. 2018,2018,6.9,294,28,1,0
tv series,Paradise PD,8235236,1,10,31 Aug. 2018,2018,7.4,305,28,1,0
tv series,Paradise PD,8235236,2,1,6 Mar. 2020,2020,7,210,28,1,0
tv series,Paradise PD,8235236,2,2,6 Mar. 2020,2020,7.2,203,27,1,0
tv series,Paradise PD,8235236,2,3,6 Mar. 2020,2020,6.8,196,27,1,0
tv series,Paradise PD,8235236,2,4,6 Mar. 2020,2020,6.5,176,,1,0
tv series,Paradise PD,8235236,2,5,6 Mar. 2020,2020,6.7,164,,1,0
tv series,Paradise PD,8235236,2,6,6 Mar. 2020,2020,6.6,162,,1,0
tv series,Paradise PD,8235236,2,7,6 Mar. 2020,2020,7.6,204,,1,0
tv series,Paradise PD,8235236,2,8,6 Mar. 2020,2020,6.8,166,,1,0
tv series,Paradise PD,8235236,2,9,,,,,,1,0
tv series,Paradise PD,8235236,2,10,,,,,,1,0
tv series,The Goop Lab,11561206,1,1,24 Jan. 2020,2020,3.1,177,35,0,0
tv series,The Goop Lab,11561206,1,2,24 Jan. 2020,2020,3.5,154,35,0,0
tv series,The Goop Lab,11561206,1,3,24 Jan. 2020,2020,3.2,154,36,0,0
tv series,The Goop Lab,11561206,1,4,24 Jan. 2020,2020,2.2,121,,0,0
tv series,The Goop Lab,11561206,1,5,24 Jan. 2020,2020,2.7,168,,0,0
tv series,The Goop Lab,11561206,1,6,24 Jan. 2020,2020,1.9,121,,0,0
tv series,Terrace House: Aloha State,6588218,1,1,1 Nov. 2016,2016,6.5,18,,0,0
tv series,Terrace House: Aloha State,6588218,1,2,8 Nov. 2016,2016,6.7,13,,0,0
tv series,Terrace House: Aloha State,6588218,1,3,15 Nov. 2016,2016,6.9,11,,0,0
tv series,Terrace House: Aloha State,6588218,1,4,22 Nov. 2016,2016,7.1,11,,0,0
tv series,Terrace House: Aloha State,6588218,1,5,6 Dec. 2016,2016,6.9,11,,0,0
tv series,Terrace House: Aloha State,6588218,1,6,13 Dec. 2016,2016,6.9,11,,0,0
tv series,Terrace House: Aloha State,6588218,1,7,20 Dec. 2016,2016,7.5,11,,0,0
tv series,Terrace House: Aloha State,6588218,1,8,27 Dec. 2016,2016,7.1,12,,0,0
tv series,Terrace House: Aloha State,6588218,1,9,10 Jan. 2017,2017,7,12,,0,0
tv series,Terrace House: Aloha State,6588218,1,10,17 Jan. 2017,2017,7,10,,0,0
tv series,Terrace House: Aloha State,6588218,1,11,24 Jan. 2017,2017,7.3,10,,0,0
tv series,Terrace House: Aloha State,6588218,1,12,31 Jan. 2017,2017,6.8,10,,0,0
tv series,Terrace House: Aloha State,6588218,1,13,14 Feb. 2017,2017,7.2,10,,0,0
tv series,Terrace House: Aloha State,6588218,1,14,21 Feb. 2017,2017,7.6,10,,0,0
tv series,Terrace House: Aloha State,6588218,1,15,28 Feb. 2017,2017,7,10,,0,0
