"series_name","series_num","season","episode","rating","votes","runtime","is_comedy","is_drama","rating_miss"
"All Hail King Julien",11,3,7,7.5,23,23,1,0,NA
"All Hail King Julien",11,3,8,7.6,23,23,1,0,NA
"All Hail King Julien",11,3,9,7.7,23,23,1,0,NA
"All Hail King Julien",11,3,10,7,22,23,1,0,NA
"All Hail King Julien",11,3,11,7,20,23,1,0,NA
"All Hail King Julien",11,3,12,7.8,21,23,1,0,NA
"All Hail King Julien",11,3,13,7.2,22,23,1,0,NA
"All Hail King Julien",11,4,1,8,23,23,1,0,NA
"All Hail King Julien",11,4,2,8.1,20,23,1,0,NA
"All Hail King Julien",11,4,3,8,21,23,1,0,NA
"All Hail King Julien",11,4,4,7.9,21,23,1,0,NA
"All Hail King Julien",11,4,5,7.6,19,23,1,0,NA
"All Hail King Julien",11,4,6,7.5,17,23,1,0,NA
"All Hail King Julien",11,4,7,8,20,23,1,0,NA
"All Hail King Julien",11,4,8,8,23,23,1,0,NA
"All Hail King Julien",11,4,9,7.6,19,23,1,0,NA
"All Hail King Julien",11,4,10,7.7,18,23,1,0,NA
"All Hail King Julien",11,4,11,7.5,19,23,1,0,NA
"All Hail King Julien",11,4,12,7.8,20,23,1,0,NA
"All Hail King Julien",11,4,13,7.8,20,23,1,0,NA
"All Hail King Julien",11,5,1,6.9,17,23,1,0,NA
"All Hail King Julien",11,5,2,7.9,15,23,1,0,NA
"All Hail King Julien",11,5,3,7.9,17,23,1,0,NA
"All Hail King Julien",11,5,4,7.1,14,23,1,0,NA
"All Hail King Julien",11,5,5,7.9,16,23,1,0,NA
"All Hail King Julien",11,5,6,8,14,23,1,0,NA
"All Hail King Julien",11,5,7,7.1,13,23,1,0,NA
"All Hail King Julien",11,5,8,6.9,15,23,1,0,NA
"All Hail King Julien",11,5,9,7.7,14,23,1,0,NA
"All Hail King Julien",11,5,10,7.9,16,23,1,0,NA
"All Hail King Julien",11,5,11,7.1,14,23,1,0,NA
"All Hail King Julien",11,5,12,6.7,13,23,1,0,NA
"All Hail King Julien",11,5,13,7.6,17,23,1,0,NA
"Almost Happy",12,1,1,6.3,32,24,1,0,6.3
"Almost Happy",12,1,2,6.5,30,24,1,0,6.5
"Almost Happy",12,1,3,6.6,30,28,1,0,6.6
"Almost Happy",12,1,4,6.5,27,27,1,0,6.5
"Almost Happy",12,1,5,6.4,25,23,1,0,6.4
"Almost Happy",12,1,6,6.2,24,21,1,0,6.2
"Almost Happy",12,1,7,6.5,23,22,1,0,6.5
"Almost Happy",12,1,8,6.8,22,25,1,0,6.8
"Almost Happy",12,1,9,7,22,23,1,0,7
"Almost Happy",12,1,10,7.5,22,28,1,0,7.5
"Altered Carbon",13,1,1,7.9,5149,58,0,1,7.9
"Altered Carbon",13,1,2,7.9,4124,56,0,1,7.9
"Altered Carbon",13,1,3,8.1,3813,51,0,1,8.1
"Altered Carbon",13,1,4,8.6,4104,49,0,1,8.6
"Altered Carbon",13,1,5,8.4,3560,53,0,1,8.4
"Altered Carbon",13,1,7,8.3,3687,66,0,1,8.3
"Altered Carbon",13,1,8,8.3,3312,51,0,1,8.3
"Altered Carbon",13,1,9,8.5,3413,53,0,1,8.5
"Altered Carbon",13,1,10,8.5,3764,50,0,1,8.5
"Altered Carbon",13,2,1,6.4,2670,45,0,1,6.4
"Altered Carbon",13,2,2,6.5,2228,47,0,1,6.5
"Altered Carbon",13,2,3,6.8,2076,53,0,1,6.8
"Altered Carbon",13,2,4,6.6,1897,56,0,1,6.6
"Altered Carbon",13,2,5,6.5,1821,50,0,1,6.5
"Altered Carbon",13,2,6,7.1,1843,43,0,1,7.1
"Altered Carbon",13,2,7,6.7,1759,49,0,1,6.7
"Altered Carbon",13,2,8,6.7,2002,53,0,1,6.7
"Anne with an E",14,1,1,9,1943,88,0,1,NA
"Anne with an E",14,1,2,8.8,1629,44,0,1,NA
"Anne with an E",14,1,3,8.9,1539,44,0,1,NA
"Anne with an E",14,1,4,8.9,1510,44,0,1,NA
"Anne with an E",14,1,5,9,1495,44,0,1,NA
"Anne with an E",14,1,6,9,1453,44,0,1,NA
"Anne with an E",14,1,7,9,1474,44,0,1,NA
"Anne with an E",14,2,1,8.6,1310,45,0,1,8.6
"Anne with an E",14,2,2,8.6,1257,44,0,1,8.6
"Anne with an E",14,2,3,9,1283,44,0,1,9
"Anne with an E",14,2,4,8.7,1230,44,0,1,8.7
"Anne with an E",14,2,5,8.8,1215,43,0,1,8.8
"Anne with an E",14,2,6,9.1,1248,44,0,1,9.1
"Anne with an E",14,2,7,8.6,1407,44,0,1,8.6
"Anne with an E",14,2,8,8.8,1220,44,0,1,8.8
"Anne with an E",14,2,9,9.2,1214,44,0,1,9.2
"Anne with an E",14,2,10,9.3,1260,44,0,1,9.3
"Another Life",15,1,1,5.7,1123,61,0,1,5.7
"Another Life",15,1,2,6.1,804,45,0,1,6.1
"Another Life",15,1,3,6.4,733,47,0,1,6.4
"Another Life",15,1,4,5.8,713,44,0,1,5.8
"Another Life",15,1,5,6,643,40,0,1,6
"Another Life",15,1,6,6.4,592,43,0,1,6.4
"Another Life",15,1,7,6.3,585,44,0,1,6.3
"Another Life",15,1,8,5.7,621,44,0,1,5.7
"Another Life",15,1,9,6.4,572,37,0,1,6.4
"Another Life",15,1,10,6.7,658,45,0,1,6.7
"Arthdal Chronicles",16,1,1,8.3,162,80,0,1,8.3
"Arthdal Chronicles",16,1,2,8.9,155,80,0,1,8.9
"Arthdal Chronicles",16,1,3,8.4,128,80,0,1,8.4
"Arthdal Chronicles",16,1,4,8.7,118,80,0,1,8.7
"Arthdal Chronicles",16,1,5,8.6,109,80,0,1,8.6
"Arthdal Chronicles",16,1,6,8.7,111,80,0,1,8.7
